player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
artiNN1,Lucas Nascimento Cafure,Brazil,Team Singularity,Active,{"twitch_link":"https://www.twitch.tv/artinn1"\,twitter_link:"https://twitter.com/artinn1fps"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
ArTiXeNN,Mateusz Cywiński,Poland,Team Singularity,Active,{"twitch_link":"https://www.twitch.tv/artixenn"\,twitter_link:"https://twitter.com/ArTiXeN98"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/10454344"}
Artyco,Artur Tishchenko,Ukraine,Gambit Esports,Active,{"twitch_link":"https://www.twitch.tv/artycoo"\,twitter_link:"https://twitter.com/Artyco11"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Aru,,Japan,Syth Gaming,Active,{"twitch_link":"https://www.twitch.tv/aruog"\,twitter_link:"https://twitter.com/Aru113939"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCtIxLcRe2OpHBZxfPTQFk6w"\,esl_profile_link:"None"}
Asanagi Sio,,Japan,AVALON Gaming,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/Asanagi_Sio"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCnjRGI-xos1ve5EI5CJhuxA"\,esl_profile_link:"None"}
Ashes,Kim Hyun-soo,South Korea,AVALON Gaming,Active,{"twitch_link":"https://www.twitch.tv/hotroro3"\,twitter_link:"https://twitter.com/ashes_f"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
ASKYY,Victor Marion,France,Nemesis,Active,{"twitch_link":"https://www.twitch.tv/askyyy"\,twitter_link:"https://twitter.com/Askyyy5"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/13338909"}
asleep,Ezequiel Gomes Rocha,Brazil,Pirate Dream Esports,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/asleepk1ng"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/user/2DaysEzequiel"\,esl_profile_link:"None"}
Assassin 47,Nitish Nair,India,Pirate Dream Esports,Active,{"twitch_link":"https://www.twitch.tv/assassin2647"\,twitter_link:"https://twitter.com/Assassin47Casts"\,facebook_link:"http://facebook.com/officialassassin47"\,youtube_link:"http://www.youtube.com/assassin47"\,esl_profile_link:"None"}
AsSen,Mao-Sen Huang,Taiwan,Pirate Dream Esports,Retired,{"twitch_link":"https://www.twitch.tv/assentw"\,twitter_link:"None"\,facebook_link:"http://facebook.com/AsSeNlol"\,youtube_link:"http://www.youtube.com/AsSenXDD"\,esl_profile_link:"None"}
